"codigo";"municipio";"total";"ano"
"150445";"Medicilândia";3;"2010"
"150450";"Melgaço";2;"2010"
"150460";"Mocajuba";6;"2010"
"150470";"Moju";13;"2010"
"150480";"Monte Alegre";24;"2010"
"150490";"Muaná";8;"2010"
"150495";"Nova Esperança do Piriá";7;"2010"
"150497";"Nova Ipixuna";1;"2010"
"150503";"Novo Progresso";16;"2010"
"150506";"Novo Repartimento";6;"2010"
"150510";"Óbidos";18;"2010"
"150520";"Oeiras do Pará";9;"2010"
"150530";"Oriximiná";15;"2010"
"150540";"Ourém";2;"2010"
"150543";"Ourilândia do Norte";10;"2010"
"150548";"Pacajá";8;"2010"
"150549";"Palestina do Pará";1;"2010"
"150550";"Paragominas";30;"2010"
"150553";"Parauapebas";49;"2010"
"150555";"Pau D'Arco";2;"2010"
"150563";"Piçarra";2;"2010"
"150565";"Placas";3;"2010"
"150570";"Ponta de Pedras";2;"2010"
"150580";"Portel";8;"2010"
"150590";"Porto de Moz";5;"2010"
"150600";"Prainha";6;"2010"
"150613";"Redenção";52;"2010"
"150616";"Rio Maria";1;"2010"
"150618";"Rondon do Pará";15;"2010"
"150619";"Rurópolis";3;"2010"
"150620";"Salinópolis";7;"2010"
"150630";"Salvaterra";7;"2010"
"150650";"Santa Izabel do Pará";8;"2010"
"150655";"Santa Luzia do Pará";1;"2010"
"150670";"Santana do Araguaia";4;"2010"
"150680";"Santarém";152;"2010"
"150690";"Santarém Novo";1;"2010"
"150700";"Santo Antônio do Tauá";1;"2010"
"150710";"São Caetano de Odivelas";2;"2010"
"150715";"São Domingos do Araguaia";1;"2010"
"150720";"São Domingos do Capim";1;"2010"
"150730";"São Félix do Xingu";11;"2010"
"150745";"São Geraldo do Araguaia";4;"2010"
"150760";"São Miguel do Guamá";6;"2010"
"150770";"São Sebastião da Boa Vista";10;"2010"
"150780";"Senador José Porfírio";2;"2010"
"150790";"Soure";6;"2010"
"150795";"Tailândia";19;"2010"
"150796";"Terra Alta";1;"2010"
"150797";"Terra Santa";2;"2010"
"150800";"Tomé-Açu";17;"2010"
"150803";"Tracuateua";2;"2010"
"150805";"Trairão";2;"2010"
"150808";"Tucumã";10;"2010"
"150810";"Tucuruí";104;"2010"
"150812";"Ulianópolis";7;"2010"
"150815";"Uruará";8;"2010"
"150820";"Vigia";4;"2010"
"150830";"Viseu";11;"2010"
"150840";"Xinguara";6;"2010"
"160015";"Pedra Branca do Amapari";1;"2010"
"160021";"Cutias";1;"2010"
"160027";"Laranjal do Jari";21;"2010"
"160030";"Macapá";239;"2010"
"160040";"Mazagão";1;"2010"
"160050";"Oiapoque";6;"2010"
"160053";"Porto Grande";3;"2010"
"160060";"Santana";32;"2010"
"160070";"Tartarugalzinho";2;"2010"
"170190";"Araguacema";1;"2010"
"170200";"Araguaçu";1;"2010"
"170210";"Araguaína";98;"2010"
"170220";"Araguatins";2;"2010"
"170230";"Arapoema";1;"2010"
"170240";"Arraias";7;"2010"
"170255";"Augustinópolis";27;"2010"
"170384";"Campos Lindos";3;"2010"
"170410";"Centenário";1;"2010"
"170510";"Chapada da Natividade";1;"2010"
"170550";"Colinas do Tocantins";7;"2010"
"170600";"Couto Magalhães";2;"2010"
"170700";"Dianópolis";8;"2010"
"170740";"Esperantina";1;"2010"
"170770";"Filadélfia";1;"2010"
"170820";"Formoso do Araguaia";1;"2010"
"170900";"Goiatins";1;"2010"
"170930";"Guaraí";6;"2010"
"170950";"Gurupi";30;"2010"
"171050";"Itacajá";2;"2010"
"171320";"Miracema do Tocantins";7;"2010"
"171360";"Monte do Carmo";1;"2010"
"171395";"Muricilândia";1;"2010"
"171500";"Nova Rosalândia";1;"2010"
"171610";"Paraíso do Tocantins";4;"2010"
"171650";"Pedro Afonso";6;"2010"
"171750";"Pium";1;"2010"
"171790";"Ponte Alta do Tocantins";1;"2010"
"171820";"Porto Nacional";18;"2010"
"171850";"Recursolândia";2;"2010"
"171890";"Santa Rosa do Tocantins";2;"2010"
"172000";"Santa Terezinha do Tocantins";1;"2010"
"172049";"São Valério";1;"2010"
"172090";"Taguatinga";7;"2010"
"172100";"Palmas";122;"2010"
"172110";"Tocantínia";1;"2010"
"172120";"Tocantinópolis";5;"2010"
"172130";"Tupiratins";1;"2010"
"172210";"Xambioá";3;"2010"
"210005";"Açailândia";10;"2010"
"210010";"Afonso Cunha";1;"2010"
"210015";"Água Doce do Maranhão";1;"2010"
"210020";"Alcântara";1;"2010"
"210030";"Aldeias Altas";1;"2010"
"210040";"Altamira do Maranhão";3;"2010"
"210047";"Alto Alegre do Pindaré";1;"2010"
"210060";"Amarante do Maranhão";6;"2010"
"210080";"Anapurus";1;"2010"
"210083";"Apicum-Açu";2;"2010"
"210087";"Araguanã";1;"2010"
"210100";"Arari";3;"2010"
"210110";"Axixá";1;"2010"
"210120";"Bacabal";27;"2010"
"210140";"Balsas";25;"2010"
"210150";"Barão de Grajaú";1;"2010"
"210160";"Barra do Corda";35;"2010"
"210170";"Barreirinhas";7;"2010"
"210173";"Belágua";2;"2010"
"210200";"Bom Jardim";2;"2010"
"210210";"Brejo";2;"2010"
"210215";"Brejo de Areia";1;"2010"
"210220";"Buriti";9;"2010"
"210230";"Buriti Bravo";2;"2010"
"210232";"Buriticupu";2;"2010"
"210240";"Cajapió";4;"2010"
"210250";"Cajari";1;"2010"
"210270";"Cantanhede";1;"2010"
"210290";"Carutapera";5;"2010"
"210300";"Caxias";170;"2010"
"210320";"Chapadinha";48;"2010"
"210330";"Codó";22;"2010"
"210340";"Coelho Neto";4;"2010"
"210350";"Colinas";9;"2010"
"210360";"Coroatá";10;"2010"
"210370";"Cururupu";29;"2010"
"210375";"Davinópolis";1;"2010"
"210380";"Dom Pedro";1;"2010"
"210390";"Duque Bacelar";1;"2010"
"210400";"Esperantinópolis";6;"2010"
"210407";"Feira Nova do Maranhão";1;"2010"
"210408";"Fernando Falcão";5;"2010"
"210409";"Formosa da Serra Negra";3;"2010"
"210410";"Fortaleza dos Nogueiras";1;"2010"
"210440";"Gonçalves Dias";2;"2010"
"210450";"Governador Archer";3;"2010"
"210462";"Governador Luiz Rocha";1;"2010"
"210467";"Governador Nunes Freire";23;"2010"
"210480";"Grajaú";9;"2010"
"210500";"Humberto de Campos";6;"2010"
"210520";"Igarapé Grande";1;"2010"
"210530";"Imperatriz";268;"2010"
"210535";"Itaipava do Grajaú";4;"2010"
"210540";"Itapecuru Mirim";8;"2010"
"210542";"Itinga do Maranhão";5;"2010"
"210560";"Joselândia";2;"2010"
"210565";"Junco do Maranhão";1;"2010"
"210570";"Lago da Pedra";13;"2010"
"210580";"Lago do Junco";1;"2010"
"210592";"Lagoa do Mato";1;"2010"
"210594";"Lago dos Rodrigues";1;"2010"
"210598";"Lajeado Novo";1;"2010"
"210600";"Lima Campos";1;"2010"
"210610";"Loreto";2;"2010"
"210630";"Magalhães de Almeida";2;"2010"
"210637";"Maranhãozinho";1;"2010"
"210640";"Mata Roma";1;"2010"
"210667";"Milagres do Maranhão";1;"2010"
"210670";"Mirador";4;"2010"
"210675";"Miranda do Norte";3;"2010"
"210680";"Mirinzal";3;"2010"
"210690";"Monção";2;"2010"
"210700";"Montes Altos";1;"2010"
"210710";"Morros";2;"2010"
"210720";"Nina Rodrigues";3;"2010"
"210735";"Nova Olinda do Maranhão";1;"2010"
"210745";"Olinda Nova do Maranhão";2;"2010"
"210750";"Paço do Lumiar";2;"2010"
"210760";"Palmeirândia";1;"2010"
"210790";"Passagem Franca";3;"2010"
"210800";"Pastos Bons";1;"2010"
"210805";"Paulino Neves";1;"2010"
"210810";"Paulo Ramos";6;"2010"
"210820";"Pedreiras";10;"2010"
"210825";"Pedro do Rosário";3;"2010"
"210830";"Penalva";5;"2010"
"210850";"Pindaré-Mirim";2;"2010"
"210860";"Pinheiro";50;"2010"
"210870";"Pio XII";5;"2010"
"210880";"Pirapemas";5;"2010"
"210900";"Porto Franco";2;"2010"
"210910";"Presidente Dutra";12;"2010"
"210945";"Raposa";1;"2010"
"210950";"Riachão";2;"2010"
"210960";"Rosário";1;"2010"
"210970";"Sambaíba";1;"2010"
"210980";"Santa Helena";1;"2010"
"210990";"Santa Inês";23;"2010"
"211000";"Santa Luzia";5;"2010"
"211003";"Santa Luzia do Paruá";2;"2010"
"211010";"Santa Quitéria do Maranhão";8;"2010"
"211020";"Santa Rita";1;"2010"
"211040";"São Benedito do Rio Preto";3;"2010"
"211050";"São Bento";3;"2010"
"211060";"São Bernardo";3;"2010"
"211065";"São Domingos do Azeitão";2;"2010"
"211090";"São Francisco do Maranhão";1;"2010"
"211100";"São João Batista";2;"2010"
"211102";"São João do Carú";2;"2010"
"211110";"São João dos Patos";4;"2010"
"211120";"São José de Ribamar";2;"2010"
"211125";"São José dos Basílios";1;"2010"
"211130";"São Luís";649;"2010"
"211153";"São Pedro da Água Branca";1;"2010"
"211170";"São Vicente Ferrer";3;"2010"
"211178";"Serrano do Maranhão";1;"2010"
"211180";"Sítio Novo";3;"2010"
"211210";"Timbiras";1;"2010"
"211220";"Timon";17;"2010"
"211223";"Trizidela do Vale";2;"2010"
"211230";"Tuntum";3;"2010"
"211240";"Turiaçu";3;"2010"
"211250";"Tutóia";5;"2010"
"211260";"Urbano Santos";1;"2010"
"211270";"Vargem Grande";13;"2010"
"211280";"Viana";15;"2010"
"211285";"Vila Nova dos Martírios";1;"2010"
"211290";"Vitória do Mearim";11;"2010"
"211300";"Vitorino Freire";5;"2010"
"211400";"Zé Doca";8;"2010"
"220030";"Alto Longá";1;"2010"
"220050";"Amarante";1;"2010"
"220110";"Avelino Lopes";3;"2010"
"220120";"Barras";4;"2010"
"220140";"Barro Duro";1;"2010"
"220150";"Batalha";2;"2010"
"220160";"Beneditinos";2;"2010"
"220173";"Betânia do Piauí";1;"2010"
"220190";"Bom Jesus";14;"2010"
"220210";"Campinas do Piauí";1;"2010"
"220220";"Campo Maior";4;"2010"
"220225";"Canavieira";2;"2010"
"220230";"Canto do Buriti";3;"2010"
"220260";"Castelo do Piauí";3;"2010"
"220270";"Cocal";5;"2010"
"220275";"Colônia do Gurguéia";1;"2010"
"220280";"Conceição do Canindé";1;"2010"
"220290";"Corrente";9;"2010"
"220300";"Cristalândia do Piauí";1;"2010"
"220320";"Curimatá";2;"2010"
"220342";"Domingos Mourão";1;"2010"
"220345";"Dom Inocêncio";1;"2010"
"220370";"Esperantina";3;"2010"
"220380";"Flores do Piauí";1;"2010"
"220390";"Floriano";16;"2010"
"220415";"Francisco Macedo";1;"2010"
"220430";"Fronteiras";1;"2010"
"220440";"Gilbués";3;"2010"
"220455";"Guaribas";1;"2010"
"220460";"Hugo Napoleão";1;"2010"
"220465";"Ilha Grande";1;"2010"
"220490";"Isaías Coelho";1;"2010"
"220510";"Itaueira";2;"2010"
"220520";"Jaicós";2;"2010"
"220540";"Joaquim Pires";1;"2010"
"220550";"José de Freitas";1;"2010"
"220552";"Júlio Borges";1;"2010"
"220553";"Jurema";1;"2010"
"220555";"Lagoa Alegre";2;"2010"
"220560";"Landri Sales";1;"2010"
"220570";"Luís Correia";2;"2010"
"220580";"Luzilândia";6;"2010"
"220585";"Madeiro";1;"2010"
"220590";"Manoel Emídio";1;"2010"
"220595";"Marcolândia";1;"2010"
"220600";"Marcos Parente";1;"2010"
"220620";"Miguel Alves";3;"2010"
"220660";"Monte Alegre do Piauí";2;"2010"
"220665";"Morro Cabeça no Tempo";2;"2010"
"220670";"Nazaré do Piauí";1;"2010"
"220680";"Nossa Senhora dos Remédios";1;"2010"
"220700";"Oeiras";5;"2010"
"220750";"Palmeirais";3;"2010"
"220770";"Parnaíba";99;"2010"
"220777";"Patos do Piauí";1;"2010"
"220780";"Paulistana";10;"2010"
"220790";"Pedro II";7;"2010"
"220800";"Picos";66;"2010"
"220820";"Pio IX";3;"2010"
"220830";"Piracuruca";2;"2010"
"220840";"Piripiri";9;"2010"
"220850";"Porto";1;"2010"
"220865";"Queimada Nova";1;"2010"
"220870";"Redenção do Gurguéia";1;"2010"
"220885";"Riacho Frio";2;"2010"
"220890";"Ribeiro Gonçalves";1;"2010"
"220920";"Santa Filomena";4;"2010"
"220935";"Santana do Piauí";1;"2010"
"220945";"Santo Antônio dos Milagres";1;"2010"
"220990";"São João da Serra";1;"2010"
"221000";"São João do Piauí";6;"2010"
"221039";"São Miguel do Fidalgo";1;"2010"
"221040";"São Miguel do Tapuio";1;"2010"
"221060";"São Raimundo Nonato";12;"2010"
"221070";"Simões";2;"2010"
"221080";"Simplício Mendes";1;"2010"
"221090";"Socorro do Piauí";1;"2010"
"221093";"Sussuapara";1;"2010"
"221100";"Teresina";550;"2010"
"221110";"União";6;"2010"
"221120";"Uruçuí";1;"2010"
"221130";"Valença do Piauí";5;"2010"
"221135";"Várzea Branca";1;"2010"
"221140";"Várzea Grande";1;"2010"
"221170";"Wall Ferraz";1;"2010"
"230020";"Acaraú";4;"2010"
"230030";"Acopiara";8;"2010"
"230040";"Aiuaba";1;"2010"
"230050";"Alcântaras";1;"2010"
"230075";"Amontada";1;"2010"
"230100";"Aquiraz";4;"2010"
"230110";"Aracati";12;"2010"
"230120";"Aracoiaba";2;"2010"
"230130";"Araripe";1;"2010"
"230140";"Aratuba";1;"2010"
"230170";"Aurora";1;"2010"
"230190";"Barbalha";80;"2010"
"230210";"Baturité";5;"2010"
"230220";"Beberibe";1;"2010"
"230240";"Boa Viagem";5;"2010"
"230250";"Brejo Santo";20;"2010"
"230260";"Camocim";6;"2010"
"230270";"Campos Sales";3;"2010"
"230280";"Canindé";18;"2010"
"230290";"Capistrano";1;"2010"
"230300";"Caridade";2;"2010"
"230320";"Caririaçu";1;"2010"
"230330";"Cariús";1;"2010"
"230340";"Carnaubal";2;"2010"
"230360";"Catarina";1;"2010"
"230365";"Catunda";1;"2010"
"230370";"Caucaia";20;"2010"
"230380";"Cedro";1;"2010"
"230390";"Chaval";3;"2010"
"230393";"Choró";1;"2010"
"230410";"Crateús";29;"2010"
"230420";"Crato";35;"2010"
"230423";"Croatá";2;"2010"
"230425";"Cruz";1;"2010"
"230426";"Deputado Irapuan Pinheiro";1;"2010"
"230428";"Eusébio";1;"2010"
"230430";"Farias Brito";2;"2010"
"230435";"Forquilha";1;"2010"
"230440";"Fortaleza";897;"2010"
"230465";"Graça";1;"2010"
"230470";"Granja";4;"2010"
"230495";"Guaiúba";2;"2010"
"230500";"Guaraciaba do Norte";4;"2010"
"230523";"Horizonte";1;"2010"
"230540";"Icó";9;"2010"
"230550";"Iguatu";13;"2010"
"230565";"Ipaporanga";1;"2010"
"230570";"Ipaumirim";1;"2010"
"230580";"Ipu";2;"2010"
"230590";"Ipueiras";2;"2010"
"230610";"Irauçuba";1;"2010"
"230630";"Itapagé";7;"2010"
"230640";"Itapipoca";29;"2010"
"230655";"Itarema";1;"2010"
"230690";"Jaguaribe";4;"2010"
"230710";"Jardim";3;"2010"
"230730";"Juazeiro do Norte";100;"2010"
"230740";"Jucás";1;"2010"
"230750";"Lavras da Mangabeira";1;"2010"
"230760";"Limoeiro do Norte";8;"2010"
"230765";"Maracanaú";11;"2010"
"230770";"Maranguape";1;"2010"
"230800";"Massapê";1;"2010"
"230810";"Mauriti";3;"2010"
"230820";"Meruoca";1;"2010"
"230830";"Milagres";1;"2010"
"230835";"Milhã";2;"2010"
"230840";"Missão Velha";1;"2010"
"230850";"Mombaça";3;"2010"
"230860";"Monsenhor Tabosa";1;"2010"
"230870";"Morada Nova";4;"2010"
"230900";"Mucambo";1;"2010"
"230920";"Nova Olinda";2;"2010"
"230930";"Nova Russas";1;"2010"
"230950";"Orós";2;"2010"
"230960";"Pacajus";4;"2010"
"230970";"Pacatuba";1;"2010"
"230980";"Pacoti";1;"2010"
"231020";"Paracuru";1;"2010"
"231025";"Paraipaba";1;"2010"
"231030";"Parambu";1;"2010"
"231050";"Pedra Branca";1;"2010"
"231060";"Penaforte";1;"2010"
"231070";"Pentecoste";1;"2010"
"231080";"Pereiro";1;"2010"
"231085";"Pindoretama";1;"2010"
"231100";"Poranga";1;"2010"
"231110";"Porteiras";1;"2010"
"231130";"Quixadá";24;"2010"
"231140";"Quixeramobim";2;"2010"
"231160";"Redenção";1;"2010"
"231180";"Russas";8;"2010"
"231195";"Salitre";1;"2010"
"231200";"Santana do Acaraú";2;"2010"
"231210";"Santana do Cariri";2;"2010"
"231240";"São Gonçalo do Amarante";1;"2010"
"231270";"Senador Pompeu";6;"2010"
"231290";"Sobral";190;"2010"
"231310";"Tabuleiro do Norte";1;"2010"
"231330";"Tauá";5;"2010"
"231335";"Tejuçuoca";1;"2010"
"231340";"Tianguá";12;"2010"
"231350";"Trairi";3;"2010"
"231370";"Umari";1;"2010"
"231390";"Uruoca";1;"2010"
"231400";"Várzea Alegre";4;"2010"
"231410";"Viçosa do Ceará";4;"2010"
"240020";"Açu";2;"2010"
"240050";"Alexandria";2;"2010"
"240060";"Almino Afonso";2;"2010"
"240080";"Angicos";1;"2010"
"240100";"Apodi";3;"2010"
"240130";"Augusto Severo";1;"2010"
"240145";"Baraúna";1;"2010"
"240190";"Caiçara do Rio do Vento";1;"2010"
"240200";"Caicó";4;"2010"
"240220";"Canguaretama";1;"2010"
"240230";"Caraúbas";3;"2010"
"240260";"Ceará-Mirim";3;"2010"
"240310";"Currais Novos";49;"2010"
"240325";"Parnamirim";43;"2010"
"240350";"Espírito Santo";1;"2010"
"240430";"Governador Dix-Sept Rosado";1;"2010"
"240450";"Guamaré";1;"2010"
"240460";"Ielmo Marinho";1;"2010"
"240580";"João Câmara";5;"2010"
"240610";"Jucurutu";2;"2010"
"240710";"Macaíba";2;"2010"
"240800";"Mossoró";104;"2010"
"240810";"Natal";362;"2010"
"240830";"Nova Cruz";2;"2010"
"240890";"Parelhas";3;"2010"
"240940";"Pau dos Ferros";9;"2010"
"241030";"Serra Caiada";2;"2010"
"241070";"Riacho da Cruz";1;"2010"
"241120";"Santa Cruz";1;"2010"
"241140";"Santana do Matos";1;"2010"
"241150";"Santo Antônio";4;"2010"
"241200";"São Gonçalo do Amarante";1;"2010"
"241220";"São José de Mipibu";3;"2010"
"241250";"São Miguel";1;"2010"
"241260";"São Paulo do Potengi";1;"2010"
"241280";"São Rafael";1;"2010"
"241350";"Serrinha";1;"2010"
"241360";"Severiano Melo";3;"2010"
"241390";"Taipu";1;"2010"
"241460";"Upanema";1;"2010"
"241490";"Viçosa";1;"2010"
"250020";"Aguiar";1;"2010"
"250030";"Alagoa Grande";2;"2010"
"250050";"Alagoinha";1;"2010"
"250060";"Alhandra";1;"2010"
"250070";"São João do Rio do Peixe";1;"2010"
"250090";"Arara";1;"2010"
"250100";"Araruna";1;"2010"
"250110";"Areia";1;"2010"
"250160";"Barra de Santa Rosa";1;"2010"
"250180";"Bayeux";2;"2010"
"250190";"Belém";1;"2010"
"250210";"Boa Ventura";1;"2010"
"250260";"Igaracy";1;"2010"
"250320";"Cabedelo";1;"2010"
"250330";"Cachoeira dos Índios";1;"2010"
"250350";"Cacimba de Dentro";1;"2010"
"250370";"Cajazeiras";15;"2010"
"250400";"Campina Grande";290;"2010"
"250430";"Catolé do Rocha";3;"2010"
"250440";"Conceição";1;"2010"
"250480";"Coremas";1;"2010"
"250490";"Cruz do Espírito Santo";1;"2010"
"250500";"Cubati";1;"2010"
"250520";"Cuitegi";1;"2010"
"250560";"Diamante";1;"2010"
"250600";"Esperança";1;"2010"
"250630";"Guarabira";9;"2010"
"250640";"Gurinhém";1;"2010"
"250670";"Imaculada";1;"2010"
"250690";"Itabaiana";2;"2010"
"250700";"Itaporanga";1;"2010"
"250750";"João Pessoa";369;"2010"
"250770";"Juazeirinho";1;"2010"
"250830";"Lagoa Seca";1;"2010"
"250890";"Mamanguape";2;"2010"
"250970";"Monteiro";2;"2010"
"251010";"Nova Floresta";1;"2010"
"251080";"Patos";62;"2010"
"251120";"Pedras de Fogo";1;"2010"
"251130";"Piancó";1;"2010"
"251140";"Picuí";4;"2010"
"251170";"Pilõezinhos";1;"2010"
"251210";"Pombal";2;"2010"
"251230";"Princesa Isabel";3;"2010"
"251240";"Puxinanã";1;"2010"
"251250";"Queimadas";1;"2010"
"251270";"Remígio";1;"2010"
"251290";"Rio Tinto";1;"2010"
"251310";"Salgado de São Félix";1;"2010"
"251340";"Santa Luzia";1;"2010"
"251360";"Santana dos Garrotes";1;"2010"
"251370";"Santa Rita";6;"2010"
"251390";"São Bento";2;"2010"
"251420";"São José da Lagoa Tapada";1;"2010"
"251450";"São José de Piranhas";1;"2010"
"251530";"Sapé";1;"2010"
"251600";"Solânea";2;"2010"
"251620";"Sousa";15;"2010"
"251660";"Tavares";1;"2010"
"251670";"Teixeira";1;"2010"
"251710";"Várzea";1;"2010"
"260005";"Abreu e Lima";3;"2010"
"260010";"Afogados da Ingazeira";18;"2010"
"260020";"Afrânio";1;"2010"
"260040";"Água Preta";1;"2010"
"260050";"Águas Belas";10;"2010"
"260070";"Aliança";2;"2010"
"260090";"Amaraji";1;"2010"
"260105";"Araçoiaba";1;"2010"
"260110";"Araripina";33;"2010"
"260120";"Arcoverde";41;"2010"
"260140";"Barreiros";2;"2010"
"260160";"Belém do São Francisco";1;"2010"
"260170";"Belo Jardim";8;"2010"
"260180";"Betânia";1;"2010"
"260190";"Bezerros";2;"2010"
"260200";"Bodocó";4;"2010"
"260210";"Bom Conselho";2;"2010"
"260220";"Bom Jardim";1;"2010"
